ID,Planet,Region,Sector,System,Inhabitants,Capital City,Grid Coordinates,Grid Letter,Grid Number,Hyperlane,Is Hyperlane Planet
4,Ab Dalis,Outer Rim Territories,Unknown,Ab Dalis system,Unknown,Unknown,R-17,R,17,,False
5,Abafar,Outer Rim Territories,Sprizen sector,Abafar system,Various,Unknown,O-6,O,6,,False
7,Abelor,Mid Rim Territories,Unknown,Unknown,Unknown,Unknown,K-17,K,17,Corellian Trade Spine,True
8,Abregado-rae,Core Worlds,Unknown,Abregado system,Unknown,Unknown,K-13,K,13,Rimma Trade Route,True
12,Aeos Prime,Outer Rim Territories,Unknown,Aeos system,Aeosians,Unknown,M-3,M,3,,False
13,Aeten II,Wild Space,Unknown,Unknown,Unknown,Unknown,J-6,J,6,,False
16,Agamar,Outer Rim Territories,Unknown,Agamar system,Unknown,Unknown,M-5,M,5,,False
17,Agaris,Wild Space,Unknown,Unknown,Agarian,Unknown,G-14,G,14,,False
18,Agoliba-Ado,Unknown,Unknown,Agoliba-Tu system,Unknown,Unknown,K-3,K,3,,False
19,Agoliba-Ena,Unknown,Unknown,Agoliba-Tu system,Unknown,Unknown,K-3,K,3,,False
20,Ahch-To,Unknown Regions,Unknown,Ahch-To system,"Human, Lanai",Unknown,F-13,F,13,,False
21,Ajara,Outer Rim Territories,Cademimu sector,Unknown,Unknown,Unknown,L-5,L,5,,False
22,Akiva,Outer Rim Territories,Unknown,Unknown,"Ahia-Ko, Uugteen",Myrra,O-6,O,6,,False
23,Alaris,Mid Rim Territories,Mytaranor sector,Kashyyyk system,Unknown,Unknown,P-9,P,9,,False
24,Alderaan,Core Worlds,Alderaan sector,Alderaan system,Humans,Aldera,M-10,M,10,,False
26,Aleen,Mid Rim Territories,Bright Jewel sector,Aleen system,"Aleena, Kindalo",Unknown,L-7,L,7,,False
30,Aloxor,Mid Rim Territories,Esaga sector,Aloxor system,Unknown,Unknown,R-11,R,11,,False
31,Alpinn,Outer Rim Territories,Unknown,Unknown,Unknown,Unknown,N-4,N,4,,False
33,Alzoc III,Outer Rim Territories,Sujimis sector,Unknown,Talz,Unknown,P-19,P,19,,False
34,Ambria,Inner Rim Territories,Unknown,Unknown,Unknown,Unknown,O-10,O,10,,False
39,Anaxes,Core Worlds,Azure sector,Azure system,Unknown,Unknown,R-7,R,7,Pelermian Trade Route,True
40,Andelm IV,Outer Rim Territories,Unknown,Unknown,Various,Unknown,O-19,O,19,,False
41,Ando,Mid Rim Territories,Lambda sector,Ando system,Aqualish,Unknown,Q-15,Q,15,,False
44,Ankhural,Mid Rim Territories,Unknown,Unknown,Unknown,Unknown,R-9,R,9,,False
46,Ansion,Mid Rim Territories,Unknown,Unknown,Unknown,Unknown,I-6,I,6,,False
47,Antar,Inner Rim Territories,Unknown,Unknown,Unknown,Unknown,N-12,N,12,,False
48,Anthan Prime,Outer Rim Territories,Albarrio sector,Anthan system,Various,Unknown,K-3,K,3,,False
